5,右下肢,3,右,肢
4,健骨药物,3,健,物
1,发热,75,发,热
2,白细胞,11,白,胞
2,中性粒细胞百分比,4,中,比
4,抗生素,56,抗,素
2,红细胞数,1,红,数
2,血红蛋,1,血,蛋
3,贫血,1,贫,血
4,对症药物,3,对,物
4,抗炎,3,抗,炎
4,石蜡油,2,石,油
2,钠,2,钠,钠
2,氯,2,氯,氯
3,低氯血症,2,低,症
1,腹痛,13,腹,痛
1,腹胀,4,腹,胀
4,口服抗生素,1,口,素
4,软组织修复药物,8,软,物
4,营养脑细胞药物,4,营,物
5,右股骨颈,1,右,颈
1,骨折,13,骨,折
5,髋关节股骨头,1,髋,头
4,右股骨颈骨折髋关节股骨头表面置换术,1,右,术
4,抗凝,1,抗,凝
5,胃肠,4,胃,肠
5,胃管,1,胃,管
5,右侧胸,2,右,胸
3,右侧胸部刀刺伤,1,右,伤
3,2型糖尿病,1,2?病
3,冠心病,3,冠,病
4,消炎药,1,消,药
4,脑细胞代谢药物,1,脑,物
3,急性胃肠炎,1,急,炎
3,麻痹性肠梗阻,1,麻,阻
3,心包积液,1,心,液
3,心功能不全,1,心,全
1,喘憋,4,喘,憋
1,躁动,1,躁,动
1,谵妄,1,谵,妄
3,高血压,6,高,压
5,鼻骨,3,鼻,骨
3,鼻骨骨折,1,鼻,折
5,额突,1,额,突
3,额突骨折,1,额,折
3,高血压病,2,高,病
5,双侧基底节,1,双,节
5,脑,7,脑,脑
3,双侧基底节腔隙性脑梗死,1,双,死
5,腰骶部,1,腰,部
3,腰骶部筋膜炎,1,腰,炎
1,水肿,3,水,肿
4,减清软组织水肿及改善骨质代谢药物,1,减,物
5,鼻部,2,鼻,部
5,鼻,1,鼻,鼻
1,畸形,1,畸,形
5,双鼻孔,1,双,孔
4,止痛，促进骨质愈合等药物,1,止,物
4,鼻骨骨折复位手术,1,鼻,术
1,头痛,12,头,痛
1,头晕,9,头,晕
5,右眼,1,右,眼
1,疼痛,10,疼,痛
5,鼻面部,1,鼻,部
5,颈背部,1,颈,部
5,右手环小指,1,右,指
1,麻木,1,麻,木
4,抗炎、营养脑神经、活血化瘀、止疼等药物,1,抗,物
1,腰痛,1,腰,痛
5,腰椎间盘,2,腰,盘
5,腰5-骶1椎间盘,1,腰,盘
3,腰椎间盘突出症,1,腰,症
4,骨营养药物及止痛药物,1,骨,物
5,左上肢,3,左,肢
4,左上肢肿物切除术,1,左,术
4,抗感染药物,1,抗,物
5,右膝关节表面,1,右,面
4,右膝关节表面置换术,1,右,术
5,右膝关节,1,右,节
5,左膝关节表面,1,左,面
4,左膝关节表面置换术,1,左,术
5,左膝关节,1,左,节
4,应用营养脑神经、止疼、活血化瘀等药物,1,应,物
